Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00095710,2023-12-31,0.6960142585,0.7776422699,0.6130568634,0.7162194833
00101J10,2012-12-31,0.3131453927,0.0160034602,0.2730316474,0.5239821976
00101J10,2013-12-31,0.4062547251,0.0155709343,0.5372238994,0.4976889683
00101J10,2014-12-31,0.5219127852,0.1260749914,0.8066985518,0.4607555773
00105510,2002-12-31,0.4584886503,0.2837837838,0.5899153195,0.4768339768
00105510,2003-12-31,0.481341436,0.2842105263,0.4326420891,0.660609858
00105510,2004-12-31,0.5381501231,0.2833333333,0.6463646532,0.5991519896
00105510,2005-12-31,0.3941889593,0.2720930233,0.6366218236,0.2990147783
00105510,2006-12-31,0.5715095014,0.2686046512,0.6890049751,0.6340875243
00105510,2007-12-31,0.5005032009,0.3887784621,0.4598053612,0.632961913
00105510,2008-12-31,0.4165516872,0.3399193548,0.2814795352,0.6185084839
00105510,2009-12-31,0.581102138,0.4593482143,0.5691451991,0.6878520639
00105510,2010-12-31,0.5400363097,0.5018245342,0.4069931181,0.7251100289
00105510,2011-12-31,0.5734628922,0.5505883432,0.4682618478,0.7261231824
00105510,2012-12-31,0.6102775499,0.5142110374,0.5751513359,0.7212579658
00105510,2013-12-31,0.5968221269,0.5142095843,0.5497768778,0.7154002577
00105510,2014-12-31,0.5584765325,0.532742915,0.4455313777,0.7167744657
00105510,2015-12-31,0.5296724349,0.5171496072,0.525502105,0.5934665582
00105510,2016-12-31,0.5154328983,0.490901671,0.5222983887,0.5748259392
00105510,2017-12-31,0.6049614403,0.5038852781,0.5747193096,0.7132832968
00105510,2018-12-31,0.5475653717,0.3077671196,0.561336374,0.6042754418
00105510,2019-12-31,0.5912006553,0.3636692079,0.6611298753,0.5962703088
00105510,2020-12-31,0.529644194,0.3601228879,0.5788085797,0.5359379509
00105510,2021-12-31,0.539456119,0.3564539242,0.6007095895,0.5392394857
00105510,2022-12-31,0.4975673967,0.3629911424,0.5343759898,0.5044675325
00105510,2023-12-31,0.4948940068,0.3602103448,0.5546795757,0.4821302798
00108410,2007-12-31,0.1193031177,0,0.1987763093,0.1678806556
00108410,2008-12-31,0.2528552676,0.2786666667,0.2186127168,0.255348475
00108410,2009-12-31,0.2154987656,0.2620173365,0.1927937158,0.1902398574
00108410,2010-12-31,0.3043401959,0.2734901407,0.4950814224,0.1870952431
00108410,2011-12-31,0.4050012653,0.3300611924,0.5788596739,0.3409866137
00108410,2012-12-31,0.5316346892,0.5948075323,0.6863250518,0.3558313021
00108410,2013-12-31,0.5327638895,0.6266418847,0.6965975561,0.3218837752
00108410,2014-12-31,0.5101728366,0.5996098874,0.5749665213,0.378896285
00108410,2015-12-31,0.4806874754,0.4637051268,0.6586153558,0.3605229367
00108410,2016-12-31,0.4856398465,0.4629768026,0.6943109218,0.3472263884
00108410,2017-12-31,0.5523720779,0.4856445347,0.756132636,0.4580341495
00108410,2018-12-31,0.4983436902,0.5154826359,0.5942198552,0.4095313091
00108410,2019-12-31,0.5548262696,0.7268689407,0.5177882287,0.4256128392
00108410,2020-12-31,0.5895353143,0.7806568329,0.4193345932,0.5444246439
00108410,2021-12-31,0.7439406376,0.8241523651,0.7981213058,0.6292022757
00108410,2022-12-31,0.6592538678,0.8020563868,0.5877093575,0.5831211041
00108410,2023-12-31,0.6338513517,0.780087237,0.5614444169,0.5552339662
00108J10,2017-12-31,0.1822537903,0.1420940171,0.4510133975,0.0485762876
00108J10,2018-12-31,0.2015566783,0.1369949495,0.5064465933,0.0637288961
00108J10,2019-12-31,0.1132418613,0.1444444444,0.1555449331,0.0649108482
00108J10,2020-12-31,0.1394954943,0.1652588839,0.1577461949,0.109697453
00108J10,2021-12-31,0.1622682784,0.1652546099,0.2821290944,0.0874534822
00108J10,2022-12-31,0.1539099647,0.1559556072,0.2707679372,0.081599211
00108J10,2023-12-31,0.1638267132,0.1470899471,0.3305370102,0.074962363
00109210,2007-12-31,0.0301315265,0.2189542484,0.0179487179,0.0552631579
00109210,2008-12-31,0.2560299282,0.2216983666,0.2694779116,0.3184647011
00109210,2009-12-31,0.2323177636,0.2525804493,0.3183072917,0.1890789474
00109210,2010-12-31,0.2476975096,0.3457274095,0.2515789474,0.2709176788
00109210,2011-12-31,0.2261353611,0.3381563326,0.248783455,0.2182184164
00109210,2012-12-31,0.2148398296,0.3221908349,0.1996254682,0.2532604603
00109210,2013-12-31,0.2314429196,0.3057407407,0.2237588652,0.2765156
00109210,2014-12-31,0.3575250767,0.3133390696,0.4292377702,0.3515782356
00109210,2015-12-31,0.3609669648,0.2910715435,0.4441860465,0.3507340672
00109210,2016-12-31,0.4360334434,0.3046441329,0.5814225053,0.3728378208
00109210,2017-12-31,0.4712001423,0.4851124614,0.5376041667,0.4819658394
00109210,2018-12-31,0.4290890753,0.1804797842,0.4752813939,0.4627093673
00109210,2019-12-31,0.4448558821,0.1756527361,0.4726806896,0.5075434121
00109210,2020-12-31,0.4739183098,0.1973986995,0.5433019912,0.4899906539
00109210,2021-12-31,0.4912741196,0.2353776822,0.5231589105,0.544426391
00109210,2022-12-31,0.4063526398,0.2295259403,0.3997581252,0.4769819449
00109210,2023-12-31,0.3550735504,0.1971180151,0.3163687817,0.4570239271
00109K10,2021-12-31,0.1175597803,0,0.2103564547,0.1648032859
00109K10,2022-12-31,0.1635845271,0,0.3662836323,0.1509627031
00109K10,2023-12-31,0.1643644521,0,0.3758974359,0.1433029009
00120410,2008-12-31,0.4193451772,0.3720930233,0.5147252876,0.4013112491
00120410,2009-12-31,0.4674478934,0.4372987478,0.3845579625,0.549689441
00120410,2010-12-31,0.5395127504,0.4801641587,0.6532208381,0.5208333333
00120410,2011-12-31,0.4228362875,0.5103967168,0.1922356165,0.4913780628
00120410,2012-12-31,0.3946395385,0.4290345314,0.401092379,0.3582793231
00120410,2013-12-31,0.3052412968,0.2059507524,0.3578994367,0.3637141057
00120410,2014-12-31,0.3093524542,0.1631326949,0.4592510745,0.3482761725
00120410,2015-12-31,0.2820831863,0.185923465,0.3796798157,0.3083216456
00122810,2016-12-31,0.1896418331,0,0.1989334471,0.4153950546
00122810,2017-12-31,0.1872824624,0,0.2175083018,0.3878071135
00122810,2018-12-31,0.1986602126,0,0.2954651551,0.3424102421
00122810,2019-12-31,0.2060893405,0,0.3647864882,0.2931501389
00122810,2020-12-31,0.1340015404,0,0.1716661627,0.2603961645
00122850,2021-12-31,0.1462776255,0.02772612,0.1389499037,0.3013948212
00122850,2022-12-31,0.1342863896,0.0334648777,0.1074644993,0.2881352522
00122850,2023-12-31,0.1416128176,0.050296337,0.1267247218,0.2709401441
00123Q10,2017-12-31,0.253732493,0,0.4545860529,0.3550945212
00123Q10,2018-12-31,0.3904992161,0.2882031837,0.5304849868,0.3685153587
00123Q10,2019-12-31,0.4989588416,0.4308562472,0.598314682,0.4777605788
00123Q10,2020-12-31,0.4082677307,0.2618892688,0.4600134089,0.535044387
00123Q10,2021-12-31,0.5487329725,0.3831181463,0.5887872881,0.7118651423
00123Q10,2022-12-31,0.4346642209,0.3407195303,0.3837608748,0.6056168086
00123Q10,2023-12-31,0.403293888,0.3176164053,0.3388614346,0.5783833139
00130H10,2005-12-31,0.3002431165,0.1194968553,0.7981151683,0.1536251105
00130H10,2006-12-31,0.2751848754,0.0724400871,0.7405223881,0.1823607427
00130H10,2007-12-31,0.3931259421,0.2574172655,0.8086959777,0.2509218763
00130H10,2008-12-31,0.3991265569,0.2200925314,0.8405044666,0.2937265057
00130H10,2009-12-31,0.414621726,0.2333866624,0.8706918423,0.3007982583
00130H10,2010-12-31,0.3383811525,0.15693461,0.8119872267,0.2113450356
00130H10,2011-12-31,0.3254813042,0.1572133051,0.7906185209,0.1877262132
00130H10,2012-12-31,0.4820770922,0.3158672368,0.9329236912,0.3526233653
00130H10,2013-12-31,0.462552563,0.3155961957,0.8008676084,0.3944839314
